DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,k,Algorithm,k algo,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Msgs Counter Arrive,Msgs Counter Deliver,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors,Average Idle Time,Max Idle Time
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,0.3333333333333329,1.0,0.0,0.0
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,100,38.05,1.0,38.665,0.0,0.0,33.96,44.92,25.65,26.31,0.725,1.0,3.0,50.096666666666664,57.16
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,200,35.89,1.0,35.89,0.0,0.0,64.61,85.66,24.41,24.37,0.0,1.0,3.0,117.93000000000002,125.51
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,300,35.89,1.0,35.89,0.0,0.0,94.38,126.02,24.37,24.37,0.0,1.0,3.0,185.92333333333332,194.3
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,400,35.89,1.0,35.89,0.0,0.0,123.47,164.48,24.37,24.37,0.0,1.0,3.0,250.8833333333333,257.94
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,500,35.89,1.0,35.89,0.0,0.0,152.57,203.68,24.37,24.32,0.0,1.0,3.0,317.80666666666673,325.85
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,600,35.89,1.0,35.89,0.0,0.0,181.93,243.1,24.41,24.41,0.0,1.0,3.0,383.36666666666656,393.01
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,700,35.89,1.0,35.89,0.0,0.0,211.82,282.56,24.41,24.41,0.0,1.0,3.0,450.7933333333334,458.47
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,800,35.89,1.0,35.89,0.0,0.0,241.13,321.58,24.46,24.37,0.0,1.0,3.0,517.3933333333333,525.26
Random Uniform 1.0,Imperfect Communication,w/o Timestamp,0.5,2,CAMDLS_TOTAL_K_v1,0,900,35.89,1.0,35.89,0.0,0.0,270.5,361.0,24.37,24.37,0.0,1.0,3.0,582.8866666666668,593.1
